Rank,ID,Segmento,Perfil,Tipo,Prioridade,Score,PL (R$),% Offshore,% CDI,Saldo Global (USD),Caixa Parado (USD),Dias s/Remessa,Dólar Médio (R$),Motivo Principal,Perfil Comportamental
19,G0268,Qualificado,Conservador,PF,CRÍTICO,72.75,148320.23,0.0,0.8213,23298.53,14751.75,41,5.3185,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
20,G0035,Qualificado,Conservador,PF,CRÍTICO,72.75,136163.36,0.0,0.7536,18097.28,7672.65,13,6.7004,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
21,G0189,Qualificado,Conservador,PF,CRÍTICO,72.25,237651.21,0.0,0.6829,33813.37,12738.31,15,7.0263,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
22,G0698,Investidor,Moderado,PF,CRÍTICO,72.0,1188203.55,0.0,0.6483,69671.06,1410.87,154,7.0982,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
23,G0548,Investidor,Moderado,PF,CRÍTICO,71.75,995443.11,0.0382,0.8381,132995.18,34761.96,88,5.8821,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
24,G0627,Investidor,Conservador,PF,CRÍTICO,71.5,2287333.53,0.0,0.7239,79093.85,28774.33,32,4.6416,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
25,G0924,Investidor,Moderado,PF,CRÍTICO,71.5,2967593.31,0.0,0.7257,38824.07,2041.96,30,5.9221,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
26,G2191,Alta Renda,Moderado,PF,CRÍTICO,71.25,13807462.85,0.0,0.5282,49287.8,21283.54,178,6.4086,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
27,G0913,Investidor,Conservador,PF,CRÍTICO,71.25,1415370.49,0.0,0.6446,30257.52,6866.89,52,6.6643,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
28,G1090,Investidor,Moderado,PJ,CRÍTICO,71.0,890439.76,0.0,0.6868,29696.0,10618.6,485,5.2229,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
29,G1115,Investidor,Moderado,PF,CRÍTICO,70.75,584078.91,0.0,0.4407,75338.27,22796.38,33,6.8031,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
30,G1346,Investidor,Conservador,PF,CRÍTICO,70.5,1389032.42,0.0,0.555,30279.91,5749.38,66,6.942,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
31,G0172,Qualificado,Conservador,PF,CRÍTICO,70.5,155490.2,0.0,0.7872,17675.57,5983.24,55,5.7149,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
32,G0563,Investidor,Moderado,PF,CRÍTICO,70.5,1231801.51,0.0,0.474,76128.38,33303.84,11,6.5629,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
33,G1194,Investidor,Conservador,PF,CRÍTICO,70.5,1474461.97,0.0,0.5637,18400.43,1724.05,66,6.832,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
34,G0823,Investidor,Moderado,PF,CRÍTICO,70.25,3318239.04,0.0,0.6207,14053.57,6778.3,81,5.8072,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
35,G0377,Qualificado,Conservador,PF,CRÍTICO,70.25,252167.45,0.0,0.7172,21743.41,6214.91,24,6.1493,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
36,G0357,Qualificado,Conservador,PJ,CRÍTICO,70.0,317693.07,0.0,0.6944,21776.17,8144.42,23,7.4838,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
37,G0453,Investidor,Moderado,PJ,CRÍTICO,69.75,1963553.77,0.0,0.7293,29753.92,6457.5,36,6.198,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
38,G1771,Investidor,Arrojado,PF,CRÍTICO,69.75,1359531.02,0.0,0.5694,34922.14,9260.82,497,8.0,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
39,G1238,Investidor,Moderado,PF,CRÍTICO,69.5,3543181.69,0.0,0.555,47815.98,25886.33,81,5.1057,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
40,G0824,Investidor,Moderado,PF,CRÍTICO,69.5,3252844.82,0.0,0.5783,65139.83,24688.79,29,5.192,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
41,G1831,Alta Renda,Conservador,PF,CRÍTICO,69.5,18680069.05,0.0275,0.5953,412040.23,197181.96,52,5.7851,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
42,G2347,Alta Renda,Conservador,PF,CRÍTICO,69.5,5000000.0,0.0,0.3075,91755.83,35486.97,66,7.0829,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
43,G0145,Qualificado,Moderado,PF,CRÍTICO,69.25,120298.32,0.0071,0.8122,51247.49,39282.33,77,4.3488,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
44,G1627,Investidor,Conservador,PF,CRÍTICO,69.25,1258588.1,0.0,0.5221,135689.83,74021.81,21,5.8117,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
45,G0875,Investidor,Moderado,PF,CRÍTICO,69.25,583368.32,0.0,0.7085,31149.02,17721.23,9,5.5836,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
46,G2171,Alta Renda,Moderado,PF,CRÍTICO,69.25,7344380.98,0.0,0.5614,199831.93,25005.77,102,3.6891,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
47,G0132,Qualificado,Moderado,PJ,CRÍTICO,69.0,397341.91,0.0,0.8983,13937.6,147.76,5,7.2061,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
48,G0918,Investidor,Conservador,PF,CRÍTICO,69.0,1406790.57,0.0,0.5133,122194.81,38874.95,12,5.5538,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
49,G1772,Investidor,Conservador,PF,CRÍTICO,69.0,1599345.56,0.0,0.5511,42494.53,22241.13,23,8.0,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
50,G0779,Investidor,Moderado,PF,CRÍTICO,68.75,1714663.65,0.0,0.6089,11439.95,5597.38,92,6.3828,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
51,G1884,Alta Renda,Arrojado,PF,CRÍTICO,68.75,5000000.0,0.0085,0.6792,164655.97,17467.73,80,6.6303,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
52,G1303,Investidor,Conservador,PJ,CRÍTICO,68.75,1879579.17,0.038,0.6446,48309.41,41069.8,84,5.9003,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
53,G2741,Alta Renda,Conservador,PJ,CRÍTICO,68.5,14462367.13,0.0,0.5741,53429.27,11707.97,27,6.5155,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
54,G0287,Qualificado,Moderado,PF,CRÍTICO,68.5,161049.67,0.0301,0.8008,15061.42,5126.29,99,7.334,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
55,G2573,Alta Renda,Conservador,PF,CRÍTICO,68.25,7506502.06,0.0,0.3157,219685.71,36023.56,61,5.9968,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
56,G0305,Qualificado,Arrojado,PF,CRÍTICO,68.25,206087.25,0.0,0.9831,23892.27,9932.94,18,6.1801,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
57,G0951,Investidor,Moderado,PF,CRÍTICO,68.25,500000.0,0.0,0.5508,82509.42,38532.53,11,4.5433,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
58,G2999,Wealth,Arrojado,PF,CRÍTICO,68.0,155744172.17,0.0737,0.7,613819.46,289237.4,40,5.9492,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
59,G2361,Alta Renda,Conservador,PF,CRÍTICO,68.0,5271567.06,0.0,0.477,135955.09,56860.2,30,4.1537,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
60,G2570,Alta Renda,Moderado,PF,CRÍTICO,68.0,12988027.33,0.0,0.5306,141663.3,61336.7,29,5.8094,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
61,G0392,Qualificado,Conservador,PF,CRÍTICO,68.0,100000.0,0.0,0.7794,28568.89,18101.21,8,4.383,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
62,G0894,Investidor,Moderado,PF,CRÍTICO,67.75,2020268.45,0.0381,0.3997,134567.47,67135.46,33,6.9631,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
63,G1269,Investidor,Conservador,PF,CRÍTICO,67.75,2180155.92,0.0105,0.829,38838.93,18175.51,17,7.5256,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
64,G2562,Alta Renda,Conservador,PF,CRÍTICO,67.5,10205539.89,0.0,0.6774,218162.94,35371.9,2,5.5188,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
65,G0014,Qualificado,Conservador,PF,CRÍTICO,67.5,100000.0,0.0,0.7264,10000.0,4773.49,33,5.4703,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
66,G0410,Qualificado,Conservador,PF,CRÍTICO,67.5,176434.47,0.0,0.8924,14837.45,774.38,13,5.4933,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
67,G0342,Qualificado,Moderado,PF,CRÍTICO,67.5,314625.04,0.0,0.7455,14751.18,8491.98,35,5.2093,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
68,G1673,Investidor,Conservador,PF,CRÍTICO,67.25,1010177.21,0.0,0.4717,77861.99,29555.96,12,6.1384,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
69,G1774,Investidor,Conservador,PF,CRÍTICO,67.25,765626.98,0.0,0.542,104802.55,44524.69,41,3.5,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
70,G2688,Alta Renda,Moderado,PF,CRÍTICO,67.25,8775623.87,0.0125,0.5445,58102.18,23830.52,38,6.7045,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
71,G0037,Qualificado,Moderado,PF,CRÍTICO,67.25,137409.21,0.0,0.8317,10000.0,2511.21,13,6.8616,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
72,G0340,Qualificado,Moderado,PF,CRÍTICO,67.25,103506.9,0.0,0.5015,11097.72,2688.21,100,7.3113,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
73,G1751,Investidor,Moderado,PF,CRÍTICO,67.25,1091104.37,0.0,0.5587,36084.5,11286.0,75,5.7535,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
74,G1226,Investidor,Conservador,PF,CRÍTICO,67.0,3980078.78,0.0,0.5335,35838.08,19941.36,24,6.3129,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
75,G0413,Qualificado,Conservador,PF,CRÍTICO,67.0,409163.46,0.0231,0.9523,22448.31,13442.15,18,6.1152,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
76,G2097,Alta Renda,Sofisticado,PF,CRÍTICO,67.0,5680769.76,0.0,0.6692,153455.13,36242.05,14,7.6742,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
77,G0155,Qualificado,Conservador,PF,CRÍTICO,67.0,437475.06,0.0,0.8537,18685.42,2034.93,38,5.7077,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
78,G2034,Alta Renda,Moderado,PF,CRÍTICO,66.75,8430521.91,0.0,0.4026,369965.49,45804.92,109,4.2631,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
79,G2257,Alta Renda,Conservador,PF,CRÍTICO,66.75,7952866.87,0.0055,0.406,221163.13,149778.91,36,5.8606,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
80,G1384,Investidor,Conservador,PF,CRÍTICO,66.75,1433873.96,0.0,0.5693,35326.02,1084.87,61,5.0887,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
81,G0780,Investidor,Conservador,PF,CRÍTICO,66.75,1289017.72,0.0402,0.7067,36149.55,23871.83,50,7.0733,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
82,G0220,Qualificado,Conservador,PF,CRÍTICO,66.5,270444.88,0.0,0.6058,10476.71,2750.82,21,6.5634,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
83,G0433,Qualificado,Conservador,PF,CRÍTICO,66.5,128314.82,0.0,0.9187,14143.29,9923.01,11,3.5411,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
84,G0174,Qualificado,Conservador,PF,CRÍTICO,66.5,123249.9,0.0,0.6652,19442.32,3766.21,175,5.1774,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
85,G0210,Qualificado,Moderado,PF,CRÍTICO,66.5,100000.0,0.0,0.5721,90611.26,37720.0,19,4.1219,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
86,G0990,Investidor,Moderado,PF,CRÍTICO,66.5,1664861.64,0.0,0.6406,29708.42,8028.74,17,5.9215,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
87,G1028,Investidor,Moderado,PF,CRÍTICO,66.5,1010305.54,0.0,0.5916,44901.94,6848.08,19,5.9584,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
88,G1669,Investidor,Moderado,PF,CRÍTICO,66.5,823527.17,0.0,0.445,37096.2,10631.64,60,5.6187,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
89,G0613,Investidor,Moderado,PF,CRÍTICO,66.5,500000.0,0.0035,0.7832,136352.49,55685.35,23,5.2631,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
90,G0150,Qualificado,Moderado,PF,CRÍTICO,66.5,266998.73,0.0,0.7106,23798.66,5209.65,67,3.5,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
91,G0086,Qualificado,Conservador,PF,CRÍTICO,66.25,241851.79,0.0,0.7175,17556.65,6225.81,12,6.4148,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
92,G0235,Qualificado,Conservador,PF,CRÍTICO,66.25,129330.65,0.0,0.7535,10243.0,6533.51,44,5.1883,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
93,G0318,Qualificado,Conservador,PF,CRÍTICO,66.25,190583.76,0.0,0.763,12488.74,4275.85,28,6.4804,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
94,G0526,Investidor,Conservador,PF,CRÍTICO,66.25,1918366.62,0.0,0.5611,38463.27,12024.7,13,5.7922,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
95,G0121,Qualificado,Conservador,PF,CRÍTICO,66.25,140675.25,0.0301,0.5588,42252.26,26189.77,43,5.9205,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
96,G0065,Qualificado,Conservador,PF,CRÍTICO,66.0,100000.0,0.0,0.5719,20490.88,4924.4,87,5.2678,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
97,G0636,Investidor,Moderado,PF,CRÍTICO,66.0,2002663.15,0.0127,0.5608,39845.68,23131.76,182,4.6028,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
98,G0336,Qualificado,Conservador,PF,CRÍTICO,66.0,326640.78,0.0,0.7042,10000.0,2013.2,18,5.9482,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
99,G0388,Qualificado,Conservador,PF,CRÍTICO,66.0,225578.46,0.0,0.7594,16140.74,6706.28,20,5.7929,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
100,G1311,Investidor,Moderado,PF,CRÍTICO,65.75,4719516.32,0.0,0.4396,87704.19,21538.67,93,4.749,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
101,G0223,Qualificado,Moderado,PF,CRÍTICO,65.75,220335.84,0.0239,0.6407,34258.33,22849.66,164,5.0218,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
102,G0438,Qualificado,Moderado,PF,CRÍTICO,65.5,218906.58,0.0,0.609,19273.69,6026.14,130,5.3324,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
103,G1276,Investidor,Conservador,PF,CRÍTICO,65.5,1175096.86,0.0,0.7134,67756.03,10756.71,81,4.7858,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
104,G0407,Qualificado,Conservador,PF,CRÍTICO,65.5,343082.24,0.0,0.5373,28017.62,16570.9,38,5.7352,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
105,G0561,Investidor,Moderado,PF,CRÍTICO,65.5,1993525.17,0.0,0.6595,68006.46,15441.65,26,5.7931,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
106,G0025,Qualificado,Moderado,PF,CRÍTICO,65.5,272251.34,0.0,0.7241,10000.0,1314.9,53,6.4866,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
107,G2397,Alta Renda,Moderado,PF,CRÍTICO,65.5,5000000.0,0.0,0.1117,174308.46,57928.62,52,5.3446,Concentração no Brasil (risco país),Alto Risco — CDI Excessivo
108,G0381,Qualificado,Moderado,PF,CRÍTICO,65.25,100000.0,0.0,0.7348,14628.37,1513.84,31,5.6211,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
109,G0950,Investidor,Conservador,PJ,CRÍTICO,65.25,1977613.84,0.0128,0.4948,43688.55,25430.16,5,7.3645,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
110,G0286,Qualificado,Conservador,PF,CRÍTICO,65.25,154492.55,0.0,0.5866,10000.0,3471.35,111,4.4907,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
111,G1120,Investidor,Moderado,PF,CRÍTICO,65.25,1132603.31,0.0,0.5707,68522.08,13159.31,16,5.7131,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
112,G0346,Qualificado,Moderado,PF,CRÍTICO,65.25,238546.58,0.0,0.7643,13221.88,2434.36,20,6.9181,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
113,G0946,Investidor,Conservador,PF,CRÍTICO,65.0,550889.59,0.0,0.7384,75632.91,22354.7,25,5.135,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
114,G0512,Investidor,Moderado,PF,CRÍTICO,65.0,2012782.68,0.0013,0.9828,29434.12,11140.36,48,5.0246,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
115,G0711,Investidor,Conservador,PF,CRÍTICO,64.75,715907.48,0.0,0.6672,21234.6,6283.69,22,6.6551,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
116,G0280,Qualificado,Arrojado,PF,CRÍTICO,64.75,237463.25,0.0,0.8742,10000.0,895.88,95,5.0926,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
117,G2674,Alta Renda,Conservador,PF,CRÍTICO,64.75,5000000.0,0.0,0.4349,123905.87,63902.42,1,5.3006,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
118,G1035,Investidor,Conservador,PF,CRÍTICO,64.75,570948.18,0.0014,0.5719,141031.46,7274.52,81,6.5818,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
119,G0895,Investidor,Moderado,PJ,CRÍTICO,64.75,1847339.3,0.0409,0.5685,62413.56,24598.13,108,5.4911,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
120,G1541,Investidor,Arrojado,PF,CRÍTICO,64.75,1457812.42,0.0456,0.5332,30879.79,11119.86,92,6.5062,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
121,G0285,Qualificado,Conservador,PF,CRÍTICO,64.5,100000.0,0.0,0.5463,25039.11,4510.42,37,6.6597,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
122,G1883,Alta Renda,Conservador,PF,CRÍTICO,64.5,6253285.71,0.0,0.3954,90338.16,45257.08,47,5.7568,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
123,G0954,Investidor,Moderado,PF,CRÍTICO,64.5,5000000.0,0.0,0.6765,20749.84,5043.73,24,7.9582,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
124,G0645,Investidor,Moderado,PF,CRÍTICO,64.5,1378346.67,0.0,0.6687,29865.14,8638.16,26,6.102,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
125,G1556,Investidor,Arrojado,PF,CRÍTICO,64.5,1116961.93,0.0384,0.4127,56930.08,16804.27,187,6.3207,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
126,G2613,Alta Renda,Arrojado,PJ,CRÍTICO,64.5,5000000.0,0.0213,0.3952,43383.56,24173.2,109,6.7245,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
127,G1397,Investidor,Conservador,PF,CRÍTICO,64.5,4664179.62,0.0015,0.7991,212251.8,44845.9,10,5.2466,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
128,G0185,Qualificado,Moderado,PF,CRÍTICO,64.25,223735.34,0.0,0.6667,14432.46,3327.79,9,5.6757,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
129,G1800,Investidor,Moderado,PF,CRÍTICO,64.25,3709161.71,0.0,0.4179,71979.7,19198.27,7,6.6802,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
130,G1293,Investidor,Conservador,PF,CRÍTICO,64.25,1949901.86,0.0,0.576,71466.02,4503.45,23,6.4574,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
131,G0020,Qualificado,Conservador,PF,CRÍTICO,64.25,328838.35,0.0,0.955,21736.46,5775.17,7,4.5545,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
132,G1779,Investidor,Conservador,PF,CRÍTICO,64.25,1635475.63,0.0,0.4719,18030.66,7957.28,53,6.0405,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
133,G1517,Investidor,Moderado,PF,CRÍTICO,64.25,3232880.32,0.0,0.3687,64563.52,22520.23,19,6.1714,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
134,G0249,Qualificado,Conservador,PF,CRÍTICO,64.25,468289.89,0.0,0.8592,14205.19,6207.18,21,4.5298,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
135,G2647,Alta Renda,Conservador,PF,CRÍTICO,64.25,8067709.89,0.0,0.5575,83516.27,12950.75,14,5.6323,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
136,G1748,Investidor,Conservador,PF,CRÍTICO,64.0,862057.09,0.0,0.7497,21541.61,11375.28,10,5.5556,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
137,G1560,Investidor,Moderado,PJ,CRÍTICO,64.0,2832152.89,0.0,0.6746,22690.88,2792.36,76,5.8116,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
138,G0893,Investidor,Arrojado,PF,CRÍTICO,64.0,2221561.13,0.0,0.6159,34540.69,13334.15,51,6.48,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
139,G0264,Qualificado,Moderado,PF,CRÍTICO,64.0,100000.0,0.0,0.7022,10000.0,5446.86,55,4.3023,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
140,G2477,Alta Renda,Moderado,PF,CRÍTICO,64.0,5000000.0,0.0,0.507,77381.25,35847.04,19,6.0599,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
141,G0222,Qualificado,Moderado,PF,CRÍTICO,64.0,194601.25,0.0,0.7332,21541.86,6070.45,11,5.594,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
142,G2486,Alta Renda,Moderado,PF,CRÍTICO,64.0,13214888.92,0.0,0.496,126726.81,42735.8,41,5.1315,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
143,G2365,Alta Renda,Moderado,PF,CRÍTICO,63.75,7729787.73,0.0,0.5476,229476.53,73186.58,8,5.2682,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
144,G0901,Investidor,Moderado,PF,CRÍTICO,63.75,563606.11,0.0,0.527,56893.07,19915.51,14,5.542,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
145,G0609,Investidor,Arrojado,PF,CRÍTICO,63.75,590409.16,0.0363,0.7122,68721.7,51592.56,5,4.3598,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
146,G1274,Investidor,Moderado,PF,CRÍTICO,63.75,2087215.02,0.0,0.5507,10000.0,615.53,71,5.02,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
147,G0225,Qualificado,Conservador,PJ,CRÍTICO,63.75,100000.0,0.0,0.5656,12827.9,4468.1,35,5.8792,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore
